Date,Month,Line,Contour,Pot #,Depth,BAIT,SEX,Carapace Width
4/23/15,April,NH,30,Trawl,,,2,80
4/23/15,April,NH,30,Trawl,,,2,72
4/23/15,April,NH,30,Trawl,,,1,80
4/23/15,April,NH,30,Trawl,,,3,72
4/23/15,April,MB,30,Trawl,,,2,121
4/23/15,April,MB,30,Trawl,,,2,113
4/23/15,April,MB,30,Trawl,,,2,130
4/23/15,April,MB,30,Trawl,,,2,154
4/23/15,April,MB,30,Trawl,,,2,119
4/23/15,April,MB,30,Trawl,,,2,118
8/30/10,August,BB,30,Trawl,,,2,140
8/30/10,August,BB,30,Trawl,,,1,150
8/30/10,August,BB,50,Trawl,,,1,120
8/30/10,August,NH,30,Trawl,,,1,85
8/30/10,August,NH,40,Trawl,,,1,70
8/30/10,August,NH,40,Trawl,,,1,70
8/30/10,August,NH,40,Trawl,,,1,90
8/30/10,August,NH,40,Trawl,,,1,190
8/30/10,August,NH,50,Trawl,,,2,90
8/30/10,August,NH,50,Trawl,,,2,85
8/30/10,August,NH,50,Trawl,,,1,190
8/30/10,August,MB,30,Trawl,,,1,70
8/30/10,August,MB,40,Trawl,,,2,90
8/30/10,August,MB,40,Trawl,,,2,80
8/30/10,August,MB,40,Trawl,,,1,140
8/11/11,August,BB,30,Trawl,,,1,175
8/11/11,August,BB,40,Trawl,,,2,150
8/11/11,August,BB,40,Trawl,,,2,115
8/11/11,August,NH,30,Trawl,,,1,210
8/11/11,August,NH,30,Trawl,,,1,210
8/11/11,August,NH,30,Trawl,,,1,150
8/11/11,August,NH,30,Trawl,,,2,160
8/11/11,August,NH,40,Trawl,,,1,135
8/11/11,August,NH,40,Trawl,,,1,140
8/11/11,August,NH,40,Trawl,,,1,155
8/11/11,August,NH,40,Trawl,,,1,180
8/11/11,August,NH,40,Trawl,,,2,115
8/11/11,August,MB,30,Trawl,,,1,175
8/11/11,August,MB,40,Trawl,,,1,170
8/18/14,August,NH,30, Trawl,,,1,140
8/18/14,August,NH,30, Trawl,,,1,142
8/18/14,August,NH,30, Trawl,,,2,158
8/18/14,August,MB,30, Trawl,,,2,134
8/18/14,August,BB,30, Trawl,,,1,143
8/18/14,August,BB,30, Trawl,,,1,160
8/18/14,August,BB,30, Trawl,,,1,100
8/18/14,August,BB,40, Trawl,,,1,139
8/18/14,August,BB,40, Trawl,,,1,112
8/18/14,August,MB,40, Trawl,,,2,142
8/18/14,August,MB,40, Trawl,,,2,131
12/13/11,December,MB,40,Trawl,,,2,150
12/13/11,December,MB,50,Trawl,,,1,130
12/13/11,December,MB,50,Trawl,,,2,150
12/7/13,December,SB,60,1,,RF,1,191
12/7/13,December,SB,60,1,,RF,1,190
12/7/13,December,SB,60,1,,RF,1,185
12/7/13,December,SB,60,1,,RF,1,190
12/7/13,December,SB,60,1,,RF,1,184
12/7/13,December,SB,60,1,,RF,1,178
12/7/13,December,SB,60,1,,RF,1,187
12/7/13,December,SB,60,1,,RF,1,186
12/7/13,December,SB,60,1,,RF,1,182
12/7/13,December,SB,60,1,,RF,1,176
12/7/13,December,SB,60,1,,RF,1,201
12/7/13,December,SB,60,1,,RF,1,170
12/7/13,December,SB,60,1,,RF,1,184
12/7/13,December,SB,60,1,,RF,1,186
12/7/13,December,SB,60,1,,RF,1,169
12/7/13,December,SB,60,1,,RF,1,178
12/7/13,December,SB,60,1,,RF,1,189
12/7/13,December,SB,60,1,,RF,1,186
12/7/13,December,SB,60,1,,RF,1,190
12/7/13,December,SB,60,1,,RF,1,177
12/7/13,December,SB,60,1,,RF,1,190
12/7/13,December,SB,60,2,,RF,1,189
12/7/13,December,SB,60,2,,RF,1,191
12/7/13,December,SB,60,2,,RF,1,185
12/7/13,December,SB,60,2,,RF,1,170
12/7/13,December,SB,60,2,,RF,1,176
